"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITIH1",93.5950037533325,3.08470851976053,0.651151247916961,4.73731491666266,2.16568492736196e-06,0.000312850388951276
"ITIH2",69.6913161034406,2.93541468338874,0.601586555566654,4.87945526080412,1.06379250510834e-06,0.000173637531646309
"ITIH3",74.7497762807612,3.42400896103951,0.579343988443041,5.91014842536187,3.4179961304731e-09,1.94053015094425e-06
"ITIH4",369.261379981392,2.33354229622466,0.517504527257103,4.50922102767484,6.50660928896995e-06,0.000809174324717806
"KHK",55.5723266121558,2.63332891304934,0.55628912303024,4.73374150963976,2.20418408512156e-06,0.000312850388951276
"KNG1",155.85671925962,3.7063064111773,0.64000209913671,5.79108477327916,6.99332659582499e-09,3.04396195627609e-06
"KRT8",48.7903080967249,1.6536306932485,0.434738159872955,3.80373945947543,0.000142528085602973,0.00935048934439997
"LECT2",90.5925399687181,2.90331966542248,0.632817001297557,4.58792930573827,4.47664169741285e-06,0.000578772151334821
"LEPR",212.168668441976,2.1002641268647,0.517169100876887,4.06107813344533,4.88466193074467e-05,0.00411509132204283
"LOC107497112",35.3146962062676,4.49676924738794,0.78962752526296,5.69479799464999,1.23518075184031e-08,4.74382066397964e-06
"LOC107497643",238.744555709601,1.69952032392943,0.40644515513256,4.18142596231746,2.89686581945473e-05,0.00279656578520323
"LOC107498892",57.7823148086381,2.76561537358835,0.604545136716925,4.57470452679091,4.76892536077337e-06,0.000604588615155133
"LOC107499311",149.722076201385,2.39132829431871,0.534293487393596,4.47568302953522,7.61674155546024e-06,0.000929527207768222
"LOC107499312",51.8888303380905,5.8919572530673,0.975827399234136,6.03790922215498,1.56123847623006e-09,1.13259177903401e-06
"LOC107500752",400.958889337226,3.7296553733684,0.628788197149545,5.93149710868598,3.00184850414555e-09,1.86657798891108e-06
"LOC107501660",73.9091187863672,3.11579850285192,0.640776615703386,4.86253465949546,1.15892078004706e-06,0.000186829475874748
"LOC107502202",22.290407254417,4.09330218771053,0.968604117652789,4.22598057669815,2.37902512873748e-05,0.0024655008040519
"LOC107503877",30.4748190473538,1.32501554780064,0.327753037401965,4.04272545665413,5.28334701265182e-05,0.00436645223362073
"LOC107504744",339.946313220295,8.22714299143313,1.36487044743034,6.02778308148035,1.66223939598788e-09,1.14239589646367e-06
"LOC107505366",24.9046434087278,1.1651787780183,0.292897602050496,3.97810965286572,6.94653369628669e-05,0.00524322757260761
"LOC107505566",45.9036231612552,5.05620979158311,0.884022887474841,5.71954625069253,1.06808898745793e-08,4.49906645104054e-06
"LOC107505632",141.795605904816,-1.7322801509687,0.414242367776043,-4.18180342167522,2.89205969459766e-05,0.00279656578520323
"LOC107506478",23.6293832294139,2.93207806852824,0.769875841223182,3.80850769894239,0.000139807994142798,0.00926706998739418
"LOC107508484",76.8650639736936,3.12037750861725,0.604252474546121,5.16402934214063,2.41689785045226e-07,5.4413538157251e-05
"LOC107508486",1106.83299085997,2.04774141018613,0.480238577430597,4.26400857078598,2.0079173682397e-05,0.00214912991757983
"LOC107508568",152.411614645232,5.26982164367092,0.677250259950248,7.78120283639027,7.18382060955927e-15,9.3806329519625e-11
"LOC107508847",110.582471514081,3.50199157719979,0.624085518832444,5.61139695045546,2.00699791023666e-08,7.08307532753253e-06
"LOC107509510",35.3710624047497,2.03332727505669,0.52520930750186,3.87146085572654,0.000108185032451429,0.00755443932487039
"LOC107509708",16.2718968076906,2.99875292381884,0.71475612814194,4.19549102938693,2.72281063632513e-05,0.00275615978985531
"LOC107510533",49.2792192774196,4.70817852463165,0.799353172415673,5.88998541208434,3.86229711283393e-09,2.01735502797542e-06
"LOC107511910",1533.56638308902,2.57339152641064,0.511943768670648,5.02670739228433,4.98972813225263e-07,9.52540952524062e-05
"LOC107514031",223.957480783846,3.13172057050745,0.599014621000567,5.22812041762247,1.71241971390679e-07,3.99299582574909e-05
"LOC107515073",10.2255272394891,3.32163887847155,0.746912260094672,4.44716073886715,8.70127284933339e-06,0.00105204834135736
"LOC107515253",260.971124407617,4.875129939866,0.693570995611481,7.02902798806903,2.07977262249666e-12,9.05255696818712e-09
"LOC107516071",24.2333562265695,4.70151765758723,1.00155825847965,4.69420287615026,2.67648313862873e-06,0.000375801256174344
"LOC107516542",55.0636434250833,6.73235767296996,1.03352433768655,6.51398078156508,7.31848649305037e-11,1.91129593252504e-07
"LOC107516828",20.4475261377286,4.66625896146556,1.03983790416854,4.48748688883073,7.20682457161402e-06,0.000887799200529583
"LOC107520841",298.833704422671,2.05702582645881,0.489517525678302,4.20214950140649,2.6439242196684e-05,0.00269721581722109
"LRG1",16.5725441537498,2.15745391555592,0.524611074182452,4.11248260231272,3.91426976774842e-05,0.00352500238808682
"MAT1A",38.4719326796653,2.86496795283265,0.591642417128989,4.84239782322442,1.28281604585226e-06,0.000201819420804082
"MEGF11",5.2181950563033,-1.32107708096144,0.275968349777426,-4.78706011767987,1.69242150098389e-06,0.000254018850113191
"MFSD2A",31.9033748491946,4.41589725872473,0.705340562963837,6.26065973034239,3.83352182729125e-10,4.17151066839743e-07
"MIOX",265.829508695715,4.35404388894383,0.656983464401932,6.62732644710841,3.4182114931305e-11,1.11587514193245e-07
"NNMT",132.036494969523,3.24698963480983,0.595493062431756,5.45260699016444,4.96366893454984e-08,1.55198060252111e-05
"NQO1",29.3434557230101,2.72478516174921,0.557843457454932,4.88449783776363,1.0369278056745e-06,0.000171394978310096
"NR1I2",22.0415639857237,2.44263996432046,0.597480753816595,4.08823204549658,4.34673244750773e-05,0.00378397548663706
"NR4A2",32.3184407674922,1.39799188463502,0.26124055872824,5.35135850053553,8.729638385919e-08,2.2351297655555e-05
"ORM1",425.364143825204,2.21965273067392,0.476768762305923,4.65561694926996,3.23011989837579e-06,0.000439363600343657
"PAH",109.625523542603,3.93746463013167,0.676028338675381,5.8244076540442,5.73155190426747e-09,2.67295017021159e-06
"PLG",94.5820672256878,3.21616516713645,0.600086711960141,5.35950072387218,8.34522597346746e-08,2.17943921523076e-05
"PRDM16",17.9029804539348,1.35585605590066,0.337046641215746,4.02275498432505,5.75213268855824e-05,0.00460954407451639
"PROC",36.5168185251841,3.05695613327323,0.640979362472787,4.76919587782051,1.84962746632658e-06,0.000274459493810142
"RGN",114.685659826011,3.80457047544761,0.682213869170998,5.57680024897586,2.44982901331367e-08,8.41838611996051e-06
"RHCE",7.02088520354179,-1.16845120989348,0.290368269743072,-4.02403200228235,5.72101379382537e-05,0.00460954407451639
"RNF125",131.414455337684,1.17549139833078,0.304238992796109,3.86371052417519,0.000111677557379012,0.00767518707502705
"SDS",168.297482001078,3.07838800021837,0.604011245013742,5.09657398869839,3.4585542665288e-07,7.28416155037631e-05
"SERPINA1",539.232827318528,1.70244393400686,0.427677097435818,3.98067594503899,6.87195784226333e-05,0.00521709450606248
"SERPINA10",10.6123326508161,3.79980089256843,0.892514282985141,4.25741185884383,2.06807153915538e-05,0.00219551854945455
"SERPINC1",139.438999726821,3.15632906053946,0.612631964180511,5.15208027834711,2.57612707744369e-07,5.60651122954329e-05
"SERPIND1",31.8804194013626,2.80013078475962,0.605090241891558,4.62762508945145,3.69882825158156e-06,0.000497930920712907
"SERPINF1",86.5313070657766,2.10858944450915,0.506938446767913,4.15945852588787,3.19002936441149e-05,0.0029967916144234
"SERPINF2",40.4095797433915,3.0550786855523,0.561710044161195,5.43888918723977,5.36137866354714e-08,1.59111096792269e-05
"SLC13A5",99.8634408659048,4.05541853428938,0.657012716751475,6.17251147640024,6.72136475868916e-10,6.26911292992593e-07
"SLC15A1",11.2511705520394,2.92400966068238,0.727299682508539,4.02036427487104,5.81082196130514e-05,0.00460954407451639
"SLC16A12",49.6931943071721,1.64716292427199,0.409761713514325,4.01980680465504,5.82458854568238e-05,0.00460954407451639
"SLC25A47",13.2191886004,3.62595427550049,0.927559797970632,3.9091326332098,9.26281001828997e-05,0.00668252890711771
"SLC25A48",14.3040889534134,3.21223547046139,0.846579549246522,3.7943693221982,0.000148019213508209,0.00956848955440689
